-0.081	0.538	0.070
0.059	0.720	0.066
0.107	0.696	0.063
-0.071	0.692	0.130
-0.354	0.912	0.258
-0.344	1.101	0.243
-0.204	1.067	0.292
-0.177	1.088	0.307
-0.248	1.394	0.575
-0.358	1.342	0.631
-0.447	0.730	0.544
-0.081	0.538	0.608
0.234	0.960	0.413
-0.012	1.459	0.379
-0.406	1.431	0.450
-0.577	1.284	0.288
-0.597	1.414	0.145
-0.413	1.596	0.187
-0.235	1.397	0.040
-0.132	1.139	0.063
-0.136	0.988	0.096
-0.177	0.926	0.168
-0.283	0.813	0.236
-0.327	0.644	0.262
-0.279	0.476	0.251
-0.180	0.397	0.270
-0.180	0.366	0.262
-0.303	0.404	0.258
-0.324	0.510	0.232
-0.248	0.713	0.202
-0.122	0.789	0.176
-0.047	0.878	0.093
-0.057	1.129	-0.080
-0.194	1.208	-0.077
-0.289	1.139	-0.024
-0.320	1.005	-0.039
-0.320	1.015	-0.054
-0.320	1.067	0.036
-0.320	1.015	0.164
-0.245	1.095	0.337
-0.194	1.222	0.537
0.018	1.270	0.620
0.135	1.139	0.503
-0.071	0.933	0.337
-0.440	0.878	0.484
-0.460	1.084	0.624
-0.242	1.174	0.514
0.039	1.222	0.232
0.100	1.180	0.085
0.035	1.098	0.115
-0.074	1.108	0.224
-0.149	1.084	0.266
-0.146	0.971	0.262
-0.156	0.868	0.273
-0.142	0.837	0.307
-0.108	0.826	0.292
-0.067	0.816	0.273
-0.036	0.806	0.243
-0.060	0.795	0.228
-0.108	0.789	0.194
-0.146	0.744	0.176
-0.115	0.696	0.149
-0.060	0.716	0.134
0.056	0.730	0.138
0.015	0.620	0.074
-0.118	0.651	0.149
-0.170	0.850	0.273
-0.112	0.844	0.243
-0.149	0.840	0.183
-0.156	0.957	0.187
-0.112	1.022	0.149
-0.105	1.074	0.127
-0.060	1.122	0.112
-0.053	1.129	0.153
-0.115	1.239	0.364
-0.317	1.428	0.556
-0.625	1.291	0.575
-0.631	0.864	0.548
-0.262	0.596	0.563
0.316	0.926	0.413
0.261	1.084	0.311
-0.084	1.239	0.447
-0.372	1.150	0.364
-0.443	1.074	0.258
-0.341	1.136	0.213
-0.214	1.122	0.119
-0.187	1.074	0.149
-0.163	0.971	0.183
-0.159	0.782	0.160
-0.180	0.641	0.206
-0.211	0.610	0.221
-0.238	0.603	0.277
-0.279	0.541	0.334
-0.313	0.445	0.270
-0.310	0.366	0.168
-0.183	0.541	0.217
-0.047	0.981	0.213
-0.029	1.335	0.127
-0.255	1.022	0.070
-0.324	0.850	0.044
-0.265	0.960	-0.080
-0.177	1.315	-0.035
-0.286	1.552	0.285
-0.375	1.328	0.575
-0.207	1.170	0.767
-0.016	1.022	0.684
0.131	0.895	0.552
-0.214	0.799	0.409
-0.293	0.985	0.548
-0.180	1.280	0.420
-0.016	1.383	0.379
0.186	1.315	0.202
0.189	1.187	0.119
-0.006	1.057	0.277
-0.194	0.964	0.379
-0.334	0.850	0.526
-0.218	0.703	0.511
-0.053	0.685	0.394
0.111	0.792	0.326
0.111	0.875	0.307
0.008	0.816	0.266
-0.081	0.740	0.258
-0.149	0.672	0.251
-0.118	0.641	0.273
-0.033	0.706	0.315
0.046	0.809	0.311
-0.009	0.758	0.236
-0.101	0.685	0.224
-0.204	0.672	0.228
-0.207	0.679	0.311
-0.129	0.751	0.277
0.094	0.792	0.176
0.018	0.761	0.048
-0.088	0.885	0.138
-0.201	1.060	0.187
-0.310	1.098	0.172
-0.324	1.060	0.183
-0.289	1.146	0.251
-0.276	1.490	0.368
-0.365	1.645	0.499
-0.413	1.349	0.469
-0.351	0.768	0.285
-0.074	0.606	0.375
0.371	0.823	0.601
-0.023	0.964	0.484
-0.522	1.046	0.507
-0.440	1.139	0.469
-0.224	1.112	0.247
-0.139	1.291	0.055
-0.252	1.301	0.100
-0.341	1.187	0.176
-0.289	1.105	0.243
-0.218	1.043	0.243
-0.153	0.933	0.273
-0.067	0.802	0.341
-0.077	0.696	0.405
-0.149	0.586	0.537
-0.218	0.610	0.409
-0.163	0.761	0.349
-0.129	0.857	0.258
-0.112	0.840	0.183
-0.108	0.881	0.157
-0.146	0.960	0.130
-0.262	0.988	0.206
-0.354	0.888	0.288
-0.307	0.775	0.270
-0.255	0.744	0.206
-0.262	0.624	0.224
-0.293	0.610	0.270
-0.293	0.802	0.209
-0.358	0.978	0.247
-0.416	1.225	0.179
-0.313	1.108	0.138
-0.183	0.943	0.048
-0.026	0.844	-0.050
0.042	1.005	-0.016
-0.125	1.122	0.100
-0.361	1.235	0.409
-0.372	1.122	0.477
-0.224	1.091	0.511
0.049	1.435	0.748
0.473	1.473	0.443
-0.057	0.981	-0.043
-0.457	0.998	0.164
-0.772	1.208	0.439
-0.700	0.971	0.172
-0.474	0.837	0.006
-0.207	0.960	-0.096
-0.060	1.105	0.029
0.022	1.139	0.209
0.042	0.905	0.307
-0.081	0.720	0.465
-0.365	0.582	0.906
-0.245	0.338	0.537
-0.016	0.507	0.262
0.172	0.861	0.364
0.292	1.242	0.311
0.128	1.256	0.138
-0.129	1.122	0.164
-0.317	1.132	0.386
-0.348	1.081	0.439
-0.242	0.947	0.334
-0.132	0.830	0.307
-0.101	0.833	0.315
-0.091	0.892	0.319
-0.012	0.919	0.266
0.039	0.902	0.191
0.029	0.899	0.168
-0.012	0.871	0.164
-0.019	0.850	0.213
-0.047	0.857	0.228
-0.101	0.885	0.296
-0.142	0.854	0.386
-0.139	0.857	0.334
-0.118	0.947	0.273
-0.146	1.064	0.251
-0.149	1.091	0.243
-0.071	1.167	0.307
-0.139	1.191	0.416
-0.242	1.108	0.672
-0.108	0.792	0.488
0.066	0.675	0.311
0.114	0.747	0.360
0.035	0.740	0.503
-0.170	0.768	0.552
-0.501	0.895	0.571
-0.532	0.947	0.537
-0.317	0.985	0.416
-0.139	1.033	0.251
-0.074	1.095	0.224
-0.132	1.036	0.213
-0.214	0.971	0.277
-0.231	0.978	0.341
-0.235	0.930	0.349
-0.262	0.864	0.311
-0.279	0.861	0.288
-0.259	0.905	0.334
-0.207	0.936	0.322
-0.125	0.995	0.243
-0.047	1.019	0.202
