0.271	0.063	-1.270
0.121	0.101	-1.153
-0.002	0.201	-0.897
-0.091	0.283	-0.822
-0.177	0.359	-0.837
-0.238	0.331	-0.882
-0.238	0.321	-1.010
-0.139	0.300	-0.980
-0.047	0.256	-0.939
0.073	0.214	-0.946
0.155	0.201	-0.969
0.203	0.194	-1.003
0.241	0.194	-1.056
0.258	0.208	-1.097
0.224	0.232	-1.059
0.155	0.252	-0.984
0.100	0.318	-0.980
0.056	0.383	-0.980
-0.023	0.469	-1.025
-0.156	0.483	-1.120
-0.259	0.459	-1.153
-0.358	0.400	-1.131
-0.354	0.342	-1.007
-0.245	0.328	-0.924
-0.067	0.349	-0.901
0.053	0.345	-0.965
0.097	0.331	-1.022
0.059	0.311	-0.980
0.008	0.307	-0.939
-0.047	0.338	-0.928
-0.084	0.410	-0.939
-0.084	0.472	-0.961
-0.053	0.534	-0.976
-0.023	0.538	-1.003
-0.012	0.507	-0.995
-0.036	0.393	-0.976
-0.098	0.290	-1.003
-0.153	0.276	-1.056
-0.156	0.314	-1.033
-0.057	0.383	-0.976
0.008	0.407	-0.980
0.032	0.438	-0.969
0.035	0.462	-0.976
0.077	0.441	-1.052
0.124	0.383	-1.097
0.121	0.318	-1.074
0.070	0.239	-1.029
0.035	0.190	-1.007
0.022	0.170	-1.022
0.008	0.204	-1.007
-0.002	0.259	-1.007
-0.016	0.304	-1.003
-0.023	0.318	-1.052
-0.036	0.331	-1.112
-0.033	0.328	-1.138
0.001	0.307	-1.127
0.029	0.269	-1.074
0.056	0.228	-1.040
0.063	0.197	-1.018
0.059	0.180	-1.010
0.053	0.170	-1.086
0.035	0.180	-1.168
0.008	0.194	-1.187
-0.006	0.214	-1.184
-0.012	0.211	-1.165
-0.012	0.194	-1.172
-0.012	0.153	-1.168
-0.023	0.122	-1.180
-0.033	0.104	-1.199
-0.064	0.128	-1.232
-0.077	0.177	-1.206
-0.084	0.225	-1.172
-0.081	0.235	-1.172
-0.067	0.208	-1.157
-0.064	0.166	-1.120
-0.057	0.139	-1.071
-0.040	0.108	-1.010
-0.019	0.101	-0.980
0.012	0.108	-0.939
0.018	0.111	-0.924
-0.019	0.094	-0.931
-0.050	0.060	-0.924
-0.057	0.036	-0.920
-0.067	0.018	-0.860
-0.040	-0.016	-0.751
-0.019	-0.033	-0.713
0.008	-0.064	-0.713
0.022	-0.112	-0.815
0.005	-0.133	-0.879
-0.026	-0.150	-0.890
-0.050	-0.164	-0.867
-0.071	-0.167	-0.830
-0.094	-0.150	-0.830
-0.064	-0.122	-0.841
-0.026	-0.098	-0.848
0.035	-0.057	-0.882
